id,poet_name,poet_country,poet_era,poet_bio,poem_title,poem_category,poem_meter,poem_text
1,"أبو الطيب المتنبي",العراق,"العصر العباسي","من أعظم شعراء العرب. اشتُهر ببلاغته وحكمته.","على قدر أهل العزم",حكمة,الطويل,"عَلَى قَدْرِ أَهْلِ العَزْمِ تَأْتِي العَزَائِمُ * وَتَأْتِي عَلَى قَدْرِ الكِرَامِ المَكَارِمُ
وَتَعْظُمُ في عَينِ الصَّغيرِ صِغَارُها * وَتَصْغُرُ في عَينِ العَظيمِ العَظائِمُ
يُكَلَّفُ سَيفُ الدَولَةِ الجَيشَ هَمَّهُ * وَقَد عَجَزَت عَنهُ الجُيوشُ الخَضارِمُ"
2,"أبو الطيب المتنبي",العراق,"العصر العباسي","من أعظم شعراء العرب. اشتُهر ببلاغته وحكمته.","واحرَّ قلباه",مدح,الطويل,"وا حَرَّ قَلباهُ مِمَّن قَلبُهُ شَبِمُ * وَمَن بِجِسمي وَحالي عِندَهُ سَقَمُ
ما لي أُكَتِّمُ حُبّاً قَد بَرى جَسَدي * وَتَدَّعي حُبَّ سَيفِ الدَولَةِ الأُمَمُ"
3,"امرؤ القيس","شبه الجزيرة العربية","العصر الجاهلي","من أشهر شعراء الجاهلية، وأحد أصحاب المعلقات.","قفا نبك",غزل,الطويل,"قِفا نَبكِ مِن ذِكرى حَبيبٍ وَمَنزِلِ * بِسِقطِ اللِوى بَينَ الدَخولِ فَحَومَلِ
فَتوضِحَ فَالمِقراةِ لَم يَعفُ رَسمُها * لِما نَسَجَتها مِن جَنوبٍ وَشَمألِ
تَرى بَعَرَ الآرامِ في عَرَصاتِها * وَقيعانِها كَأَنَّهُ حَبُّ فُلفُلِ"
4,"أبو تمام",سوريا,"العصر العباسي","أحد أعمدة الشعر العربي في العصر العباسي.","السيف أصدق أنباء",مدح,البسيط,"السَيفُ أَصدَقُ أَنباءً مِنَ الكُتُبِ * في حَدِّهِ الحَدُّ بَينَ الجِدِّ وَاللَعِبِ
بيضُ الصَفائِحِ لا سودُ الصَحائِفِ في * مُتونِهِنَّ جَلاءُ الشَكِّ وَالرِيَبِ"
5,"أبو نواس",العراق,"العصر العباسي","شاعر عباسي مجدد، اشتهر بالخمريات.","ألا فاسقني خمراً",وصف,الوافر,"أَلا فَاسْقِني خَمْراً وَقُلْ لي هِيَ الخَمرُ * وَلا تَسقِني سِرّاً إِذا أَمكَنَ الجَهرُ
فَما العَيشُ إِلّا سَكرَةٌ بَعدَ سَكرَةٍ * فَإِن طالَ هَذا عِندَهُم قَصُرَ العُمرُ"
6,"أبو العلاء المعري",سوريا,"العصر العباسي","فيلسوف وشاعر ضرير، عرف بحكمته وزهده.","غير مجدٍ في ملتي واعتقادي",حكمة,الخفيف,"غَيرُ مُجدٍ في مِلَّتي وَاِعتِقادي * نَوحُ باكٍ وَلا تَرَنُّمُ شادِ
وَشَبيهٌ صَوتُ النَعِيِّ إِذا قِيسَ * بِصَوتِ البَشيرِ في كُلِّ نادِ
أَبَكَت تِلكُمُ الحَمامَةُ أَم غَنَّـ * ـتَ عَلى فَرعِ غُصنِها المَيّادِ"
7,"ابن زيدون",الأندلس,الأندلسي,"شاعر أندلسي شهير، اشتهرت قصائده لولّادة بنت المستكفي.","أضحى التنائي",غزل,البسيط,"أَضحى التَنائي بَديلاً مِن تَدانينا * وَنابَ عَن طيبِ لُقيانا تَجافينا
بِنتُم وَبِنّا فَما اِبتَلَّت جَوانِحُنا * شَوقاً إِلَيكُم وَلا جَفَّت مَآقينا"
8,"ابن الفارض",مصر,الأيوبي,"شاعر متصوف مصري، لُقّب بسلطان العاشقين.","سقتني حُميّا الحبّ",دينية,الطويل,"سَقَتني حُمَيّا الحُبِّ راحَةُ مُقلَتي * وَكَأسي مُحَيّا مَن عَنِ الحُسنِ جَلَّتِ
فَأَوهَمتُ صَحبي أَنَّ شُربَ شَرابِهِم * بِهِ سُرَّ سِرّي في اِنتِشائي بِنَظرَةِ"
9,الفرزدق,العراق,"العصر الأموي","شاعر أموي شهير من أهل البصرة.","هذا الذي تعرف البطحاء",مدح,البسيط,"هَذا الَّذي تَعرِفُ البَطحاءُ وَطأَتَهُ * وَالبَيتُ يَعرِفُهُ وَالحِلُّ وَالحَرَمُ
هَذا اِبنُ خَيرِ عِبادِ اللَهِ كُلِّهِمِ * هَذا التَقِيُّ النَقِيُّ الطاهِرُ العَلَمُ"
10,"كعب بن زهير","شبه الجزيرة العربية","صدر الإسلام","صحابي جليل، صاحب قصيدة البردة.","بانت سعاد",مدح,البسيط,"بانَت سُعادُ فَقَلبي اليَومَ مَتبولُ * مُتَيَّمٌ إِثرَها لَم يُفدَ مَكبولُ
وَما سُعادُ غَداةَ البَينِ إِذ رَحَلوا * إِلّا أَغَنُّ غَضيضُ الطَرفِ مَكحولُ"
11,"ابو الطيب المتنبي",العراق,"العصر العباسي","من أعظم شعراء العرب.","على قدر اهل العزم",حكمة,الطويل,"على قدر اهل العزم تاتي العزائم * وتاتي على قدر الكرام المكارم
وتعظم في عين الصغير صغارها * وتصغر في عين العظيم العظائم
يكلف سيف الدولة الجيش همه * وقد عجزت عنه الجيوش الخضارم"
12,"شاعر مجهول",,,,"قصيدة بلا نص",,,
13,"شاعر مجهول",,,,,,,"نص بلا عنوان"
14,"نزار قباني",سوريا,"العصر الحديث","شاعر سوري معاصر (1923-1998).","قارئة الفنجان",غزل,المتقارب,"جَلَسَت وَالخَوفُ بِعَينَيها * تَتَأَمَّلُ فِنجاني المَقلوبَ
قالَت يا وَلَدي لا تَحزَن * فَالحُبُّ عَلَيكَ هُوَ المَكتوبُ"
15,"محمود درويش",فلسطين,"العصر الحديث","شاعر فلسطيني معاصر.","أحن إلى خبز أمي",وطن,,"أحنُّ إلى خبز أمي
وقهوة أمي
ولمسة أمي"
16,المتنبي,العراق,"العصر العباسي",,"قصيدة رقم ١٢٣",حكمة,الطويل,"قصيدة تجريبية * لتجربة الأرقام العربية ١٢٣٤
والفاصلة بين الشطرين * بمسافات   متعددة"
